Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.108.1.65,2020-01-31,727902,1742,77,142,211,237,238,837
62.108.1.66,2020-01-31,727902,1853,76,137,225,234,243,938
62.117.40.112,2020-01-30,727902,42269,774,720,1252,1849,2667,35007
62.128.175.14,2020-01-31,727902,62317,1041,5720,10190,9080,9633,26653
62.128.175.15,2020-01-30,727902,63347,1044,5656,10196,9286,9636,27529
62.133.126.28,2020-01-31,727902,2456,459,326,329,231,232,879
62.133.126.29,2020-01-31,727902,2435,455,325,297,238,249,871
62.134.11.4,2020-01-31,727902,199891,1313,6291,27777,45306,54368,64836
62.141.0.1,2020-01-31,727902,4629,204,192,395,429,514,2895
62.141.0.2,2020-01-31,727902,4547,195,195,356,400,487,2914
62.141.58.13,2020-01-31,727902,14457,205,570,1587,1853,1952,8290
62.145.68.100,2020-01-30,727902,4981,80,180,313,334,389,3685
62.145.128.1,2020-01-31,727902,2016,109,105,258,235,235,1074
62.148.192.130,2020-01-30,727902,1852,157,149,220,234,228,864
62.150.103.3,2020-01-30,727902,3377,147,221,367,379,364,1899
62.151.2.8,2020-01-31,727902,15018,1464,844,793,1021,1275,9621
62.151.8.100,2020-01-31,727902,16861,1684,961,978,1140,1535,10563
62.153.158.62,2020-01-31,727902,20991,204,622,2140,2420,2390,13215
62.165.32.250,2020-01-31,727902,42190,1678,2278,1775,1630,2247,32582
62.165.33.250,2020-01-31,727902,42794,1821,2200,1724,1592,2304,33153
62.166.128.10,2020-01-31,727902,1860,99,133,241,240,225,922
62.169.194.10,2020-01-30,727902,2317,141,165,258,258,278,1217
62.169.194.11,2020-01-30,727902,2411,147,182,288,276,273,1245
62.169.194.17,2020-01-30,727902,1873,89,145,240,229,216,954
62.169.194.18,2020-01-31,727902,1819,74,133,227,199,239,947
62.171.194.100,2020-01-30,727902,10723,755,1518,2223,1677,1126,3424
62.171.194.105,2020-01-30,727902,10801,952,1609,2109,1564,1157,3410
62.172.176.80,2020-01-31,727902,7756,119,212,391,792,1839,4403
62.177.144.11,2020-01-31,727902,1981,122,189,238,247,227,958
62.183.50.230,2020-01-31,727902,29982,1254,954,989,1106,1899,23780
62.189.34.83,2020-01-31,727902,1762,80,129,240,212,252,849
62.192.128.60,2020-01-30,727902,57276,311,691,2119,3989,7409,42757
62.196.2.70,2020-01-31,727902,69942,5138,4632,7779,11771,16032,24590
62.201.129.99,2020-01-31,727902,2540,485,265,255,286,242,1007
